n,score,baseline,improvement,source
200,0.3704527724,0.3704527724,0.0000000000,Baseline_CollisionFallback
199,0.1604145729,0.3696158011,0.2092012282,ReverseGreedy
198,0.1612247475,0.3675820297,0.2063572823,ReverseGreedy
197,0.1620431472,0.3694479284,0.2074047812,ReverseGreedy
196,0.1628698980,0.3667043959,0.2038344980,ReverseGreedy
195,0.1637051282,0.3684026343,0.2046975061,ReverseGreedy
194,0.1645489691,0.3678373875,0.2032884184,ReverseGreedy
193,0.1654015544,0.3679203695,0.2025188151,ReverseGreedy
192,0.1662630208,0.3687220327,0.2024590118,ReverseGreedy
191,0.1671335079,0.3651992663,0.1980657584,ReverseGreedy
190,0.3671213677,0.3671213677,0.0000000000,Baseline_CollisionFallback
189,0.1689021164,0.3690107009,0.2001085845,ReverseGreedy
188,0.1698005319,0.3709735238,0.2011729919,ReverseGreedy
187,0.1707085561,0.3729573394,0.2022487833,ReverseGreedy
186,0.1716263441,0.3738216397,0.2021952956,ReverseGreedy
185,0.1725540541,0.3708338665,0.1982798125,ReverseGreedy
184,0.1734918478,0.3682649236,0.1947730758,ReverseGreedy
183,0.1744398907,0.3702737017,0.1958338110,ReverseGreedy
182,0.1753983516,0.3675281111,0.1921297595,ReverseGreedy
181,0.1671270718,0.3694851317,0.2023580599,ReverseGreedy
180,0.3667350072,0.3667350072,0.0000000000,Baseline_CollisionFallback
179,0.1689944134,0.3687838061,0.1997893927,ReverseGreedy
178,0.1699438202,0.3708556252,0.2009118050,ReverseGreedy
177,0.1709039548,0.3680544246,0.1971504698,ReverseGreedy
176,0.1718750000,0.3687805519,0.1969055519,ReverseGreedy
175,0.1728571429,0.3707558542,0.1978987114,ReverseGreedy
174,0.1738505747,0.3682620911,0.1944115164,ReverseGreedy
173,0.1748554913,0.3699757749,0.1951202836,ReverseGreedy
172,0.1758720930,0.3719470067,0.1960749137,ReverseGreedy
171,0.1769005848,0.3735558398,0.1966552550,ReverseGreedy
170,0.3663684973,0.3663684973,0.0000000000,Baseline_CollisionFallback
